ds,yhat,yhat_lower,yhat_upper,consumer_id
2025-01-26,2169.725859863026,-21868.583032568873,26498.040422925635,-9218171150999112048
2025-01-27,2003.193583894235,-20338.849718595524,25200.513738837646,-9218171150999112048
2025-01-28,1713.1425083748684,-21435.006473512396,24749.872599255923,-9218171150999112048
2025-01-29,2316.2267017687177,-20419.751622848584,26183.412823086557,-9218171150999112048
2025-01-30,1705.446205285557,-21509.136173749823,24557.7853756308,-9218171150999112048
2025-01-31,3440.952792582739,-20963.434942730077,27951.431269745823,-9218171150999112048
2025-02-01,958.4381965023173,-21546.85484935568,23965.597269785372,-9218171150999112048
2025-02-02,1282.0492545465231,-23255.908054973825,23707.790506092602,-9218171150999112048
2025-02-03,1076.4776310994987,-23133.59874809967,24310.404326184882,-9218171150999112048
2025-02-04,767.5763080385888,-22620.792377090896,23822.981405145343,-9218171150999112048
2025-02-05,1354.3080487444174,-22144.77203964487,23762.76520512226,-9218171150999112048
2025-02-06,764.548461951449,-22329.050463796673,24017.598070136726,-9218171150999112048
2025-02-07,2496.6591940788885,-21347.11734949579,23743.3463259761,-9218171150999112048
2025-02-08,96.71655733790821,-22131.92918945666,20441.832866605666,-9218171150999112048
2025-02-09,467.2141841293935,-22228.98432487003,24256.67408321102,-9218171150999112048
2025-02-10,327.7831956299112,-21991.805431958102,21842.010506001014,-9218171150999112048
2025-02-11,94.86448762856818,-21863.402309884154,25080.729234509217,-9218171150999112048
2025-02-12,747.9692477779614,-23445.832777003947,23151.56492412068,-9218171150999112048
2025-02-13,248.49237115588585,-23690.878202072698,23294.8118798515,-9218171150999112048
2025-02-14,2032.0729507170308,-20714.78087256434,25016.959740368282,-9218171150999112048
2025-02-15,-245.32992945912022,-24604.352747710498,21813.308423581504,-9218171150999112048
2025-02-16,197.0469064218513,-22569.38627581416,23328.885804409827,-9218171150999112048
2025-02-17,134.1031098259514,-22664.830615022332,24576.42766057677,-9218171150999112048
2025-02-18,-26.426499576886812,-24403.359017009978,22986.45421140803,-9218171150999112048
2025-02-19,676.5614112006921,-21087.203327906253,24326.48791697293,-9218171150999112048
2025-02-20,239.3149752301526,-23568.831038706645,23752.27155527145,-9218171150999112048
2025-02-21,2036.3209621203036,-21638.813010914204,26231.65112678193,-9218171150999112048
2025-02-22,-164.83076210067338,-21858.02351962964,21686.424023207637,-9218171150999112048
2025-02-23,296.7572670427361,-22991.542239768307,22713.403132707153,-9218171150999112048
2025-02-24,253.17313103765733,-22234.131840007663,22681.377306139057,-9218171150999112048
2025-02-25,105.36046604315229,-23298.488243326712,24256.364298461947,-9218171150999112048
2025-02-26,797.8677332874839,-23671.53156354205,24096.46543361617,-9218171150999112048
2025-02-27,363.53540124547845,-21085.630470554086,24759.721150650148,-9218171150999112048
2025-02-28,2117.2775266814447,-19698.499051637085,26908.74534722502,-9218171150999112048
2025-03-01,-60.30315934156772,-23609.355616191177,21484.014649933877,-9218171150999112048
2025-03-02,372.9800672249263,-22272.685537906986,24775.05230867243,-9218171150999112048
2025-03-03,307.3110297206354,-22823.64436201606,22813.781445627174,-9218171150999112048
2025-03-04,137.49058482360837,-22631.754926534188,22706.662780166644,-9218171150999112048
2025-03-05,791.8998062932709,-21766.84011407919,24107.505941521384,-9218171150999112048
2025-03-06,340.10491657377463,-22360.67925026478,24367.72396206846,-9218171150999112048
2025-03-07,2037.3416741490444,-22643.891536265666,24959.75532044036,-9218171150999112048
2025-03-08,-123.0965608903292,-24582.78034987581,19545.88940905415,-9218171150999112048
2025-03-09,281.75582002322074,-22764.282271645978,22458.380852234066,-9218171150999112048
2025-03-10,199.51323053761092,-23891.52300878314,21936.295855234384,-9218171150999112048
2025-03-11,18.050603450296602,-22032.478118683644,24011.40637756419,-9218171150999112048
2025-03-12,648.7191925404518,-22520.969242794752,26307.76817824287,-9218171150999112048
2025-03-13,196.90836444105554,-23463.527867626013,23116.50096756611,-9218171150999112048
2025-03-14,1857.2708317225072,-22516.82751363445,24921.735929257593,-9218171150999112048
2025-03-15,-265.0807208609177,-23258.260003533513,23420.218501066935,-9218171150999112048
2025-03-16,132.79221051586183,-23825.42243731249,22478.83906770223,-9218171150999112048
2025-03-17,55.22104655697513,-22214.105542545272,23339.6243722754,-9218171150999112048
2025-03-18,-117.44493067977916,-23279.903476358417,22583.176518540164,-9218171150999112048
2025-03-19,508.64503308940334,-23703.88561828994,22812.979736495592,-9218171150999112048
2025-03-20,74.37038481898826,-22870.646759625,21951.967351643914,-9218171150999112048
2025-03-21,1713.6071918968046,-21340.242936344075,25898.027440424044,-9218171150999112048
2025-03-22,-356.7713750291423,-21960.66379754825,22973.1562684965,-9218171150999112048
2025-03-23,46.21116800757884,-22291.65941355657,23005.465081724877,-9218171150999112048
2025-03-24,-16.224059294142844,-23281.61473536938,21965.5072831727,-9218171150999112048
2025-03-25,-170.99406324835752,-23808.490633293026,21941.978074474875,-9218171150999112048
2025-03-26,458.572916363753,-22711.28829105285,23369.401212253022,-9218171150999112048
2025-03-27,49.20309779446515,-21298.90302529066,23333.15287116356,-9218171150999112048
2025-03-28,1674.3596364795194,-22743.94040309944,26545.260965537575,-9218171150999112048
2025-03-29,-336.98108271227284,-24035.9020438664,22458.11360587682,-9218171150999112048
2025-03-30,78.49044614462628,-21854.098930915196,24558.15361638304,-9218171150999112048
2025-03-31,39.10829025065793,-23385.559328067844,21770.33421961481,-9218171150999112048
2025-04-01,-89.17981943636916,-23562.605510767826,21591.873835905386,-9218171150999112048
2025-04-02,553.1418878131872,-20867.232062836563,24278.352153240703,-9218171150999112048
2025-04-03,178.55098677777855,-22189.50887649507,22028.5150115831,-9218171150999112048
2025-04-04,1799.8794419404087,-20694.295226290244,25949.077619272266,-9218171150999112048
2025-04-05,-142.13246627213294,-22219.794918232456,23350.030634737275,-9218171150999112048
2025-04-06,295.70559058187735,-23305.705529196603,22952.755414412833,-9218171150999112048
2025-04-07,288.2898494160746,-24106.997355978907,22255.07716769065,-9218171150999112048
2025-04-08,193.80342638811993,-22099.09183552214,23874.97892450451,-9218171150999112048
2025-04-09,853.923203101779,-23161.258466312196,24478.560669783757,-9218171150999112048
2025-04-10,516.1708187560685,-23372.45738084306,23692.350750980226,-9218171150999112048
2025-04-11,2132.047567654518,-23094.335174099688,26264.918565092903,-9218171150999112048
2025-04-12,253.39998929054065,-22186.818873546414,23222.983864865288,-9218171150999112048
2025-04-13,702.717965702891,-23551.49611060091,22959.705799704298,-9218171150999112048
2025-04-14,710.9886356890091,-23051.330564035194,23120.900494393052,-9218171150999112048
2025-04-15,628.3005830950099,-22032.45315777553,25803.098504904432,-9218171150999112048
2025-04-16,1278.3309491497885,-20484.976436236448,25303.018431519944,-9218171150999112048
2025-04-17,943.6764808805325,-22376.913781353946,24483.032070581514,-9218171150999112048
2025-04-18,2514.747568596585,-23896.25154503389,28426.870365272876,-9218171150999112048
2025-04-19,654.9554007769043,-22019.745917470278,22548.173548357132,-9218171150999112048
2025-04-20,1066.7686965924986,-23672.187454897034,24039.47430448821,-9218171150999112048
2025-04-21,1038.1598628340569,-22679.89903077532,23411.671739064124,-9218171150999112048
2025-04-22,912.2183339398564,-22373.157363322698,24519.3223402079,-9218171150999112048
2025-04-23,1495.8957061051872,-23780.55631440268,25287.080032101432,-9218171150999112048
2025-04-24,1108.2869084696495,-22211.39056328808,25658.382236597132,-9218171150999112048
2025-04-25,2580.2464143479165,-23934.934324093865,29773.76397162705,-9218171150999112048
2025-04-26,688.3539295154438,-24116.989283415198,24879.460455179586,-9218171150999112048
2025-04-27,1016.6818760248374,-22365.07096356291,25037.6739888395,-9218171150999112048
2025-04-28,911.7824788883295,-23026.312264684686,24852.251246426706,-9218171150999112048
2025-04-29,711.2571079494967,-23173.50447079628,23389.603547265277,-9218171150999112048
2025-04-30,1206.706158322119,-22848.681413922895,25860.125000772074,-9218171150999112048
2025-05-01,754.9087205834079,-21744.99205279718,24389.875807836237,-9218171150999112048
2025-05-02,2128.112779372154,-24306.106506424298,27794.849236142487,-9218171150999112048
2025-05-03,216.73642087303335,-22009.1237998489,24678.02096054652,-9218171150999112048
2025-05-04,486.80985198251483,-22651.665873005797,23701.684528612706,-9218171150999112048
2025-05-05,343.4754595845069,-21131.84186379816,22399.350296206914,-9218171150999112048
2025-05-06,118.49469842308208,-22333.6710322293,22904.556922040712,-9218171150999112048
2025-05-07,587.3947422414087,-22895.603710141688,25359.91932564092,-9218171150999112048
2025-05-08,143.5498328932397,-24337.830515496084,23829.341873151327,-9218171150999112048
2025-05-09,1499.1601440140744,-23482.557561561753,27111.975675351878,-9218171150999112048
2025-05-10,-343.28532805200695,-20961.867076462808,22607.619757502158,-9218171150999112048
2025-05-11,-37.8549332468738,-22318.86704756784,22626.37528640191,-9218171150999112048
2025-05-12,-123.1136827866628,-23477.150677090227,22430.162946130764,-9218171150999112048
2025-05-13,-275.6218686684481,-23580.767871629538,22831.122144973033,-9218171150999112048
2025-05-14,261.4731913015165,-21479.232942423416,23182.822830152625,-9218171150999112048
2025-05-15,-84.5087940123365,-24412.05192758589,21167.330577526653,-9218171150999112048
2025-05-16,1335.9617167267595,-22310.631364875284,26513.255280444915,-9218171150999112048
2025-05-17,-365.07392728244935,-22741.020515422366,21881.875756616908,-9218171150999112048
2025-05-18,35.88034045181535,-21933.438477405587,23451.116503568745,-9218171150999112048
2025-05-19,54.471424678779904,-22423.701337017294,22410.26736335797,-9218171150999112048
2025-05-20,4.062978769698225,-22422.283792949864,22087.093307878018,-9218171150999112048
2025-05-21,621.4682870066434,-21277.573916321297,24124.720084077395,-9218171150999112048
2025-05-22,367.03093528252646,-21743.14444072216,22961.660063936815,-9218171150999112048
2025-05-23,1827.174482629638,-24495.368764485786,28152.64670817489,-9218171150999112048
2025-05-24,223.57384487470193,-24009.783993903722,22159.49588203771,-9218171150999112048
2025-05-25,657.9037269426245,-23057.739187551942,22714.295988901496,-9218171150999112048
2025-05-26,701.1718402108279,-21694.471404684737,25691.310979438975,-9218171150999112048
2025-05-27,658.3357248182775,-22370.095063672223,24237.746142869655,-9218171150999112048
2025-05-28,1248.331303628835,-23411.66731258842,26038.959550896016,-9218171150999112048
2025-05-29,967.136264661069,-22530.3554410523,26009.84168011349,-9218171150999112048
2025-05-30,2341.068572715128,-26956.291086343914,30433.211537949097,-9218171150999112048
2025-05-31,704.7563790950052,-23392.474122014974,24342.701275716216,-9218171150999112048
